"Name","description","packSize","code","manufacturer","price"
"Askeys 21 Classic Cones with Sweetener","A golden yellow / brown coloured cup shaped wafer biscuit with a crisp friable texture and slightly sweet and lightly toasted background flavour.  The product is GMO-free and does not originate from or contain ingredients from genetic modification.  Conforms to all relevant statutory requirements (UK & EU Regulations).","1 x 21","89856","Askeys","2.19"
"Tate & Lyle Black Treacle 750g","","1 x 750g","128762","Tate & Lyle","2.19"
"Lyle's Golden Syrup Squeezy 750g","A golden colour invert formed of a combination of sucrose, glucose and fructose found naturally in sugar cane. Morecommonly known as Lyle's Golden Syrup Easiflow f ormula, it has rich caramel and honey-like flavour. Golden Cane Invert Syrup 47 - 79 reduces water activity, lowers freezing point, increases humectancy and adds texture, colour and flavour to tarts, puddings, sauces, cereal bars.","1 x 750g","128761","Lyle's","2.19"
"Kerrymaid Angelito Vanilla Flavour Ice Cream Mix 1 Litre","Ice cream mix","1 x 1ltr","2219","Kerrymaid","2.29"
"Brakes Baked Beans in Tomato Sauce","Created specifically for foodservice requirements, these beans are firmer for longer bain marie stability, and have more beans per kg than the leading brand, ensuring the highest quality. In a delicious tomato sauce… and a Brakes best-seller!","1 x 2.62kg","186","Brakes","2.29"
"Brakes Cannellini Beans in Water","Ideal in salads or casseroles.","1 x 800g","1050","Brakes","2.29"
"Pan Asia Panasia Sweet Chilli Dipping Sauce 1L","Panasia Sweet Chilli Dipping Sauce 1L","1 x 1ltr","86972","Pan Asia","2.29"
"Brakes Vegan Mayo","","1  x 1ltr","126924","Brakes","2.29"
"Lyle's Golden Syrup Maple Flavour 454g","Maple natural flavouring blended with golden syrup – a partially inverted refiners syrup originating from a cane sugar syrup solution. It is a pale golden amber viscous syrup. It can be used in any recipe where maple syrup is required. Use in baking to add flavour and sweetness to cakes and biscuits or use as a pouring sauce for pancakes and waffles","1 x 454g","107022","Lyle's","2.29"
"Brakes Pear Halves in Light Syrup","Ready to eat or to use in recipes. A great time-saver!","1 x 822g","19524","Brakes","2.39"
"Brakes Peach Slices in Light Syrup","Ready to eat or to use in recipes. A great time-saver!","1 x 820g","21210","Brakes","2.39"
"Blue Dragon Sweet Chilli Dipping Sauce 750g","a rich blend of chillies and garlic","1 x 750g","470279","Blue Dragon","2.39"
"Brakes Borlotti Beans In Water","Great in Italian recipes.","1 x 800g","10787","Brakes","1.99"
"Brakes Mushy Processed Peas","Vibrant green processed peas containing no artificial colours. Ready to use, saving you time.","1 x 850g","28979","Brakes","1.99"
"Brakes Chopped Tomatoes in Tomato Juice","A Brakes best-seller!","1 x 2.5kg","6437","Brakes","2.09"
"Brakes Chopped Tomatoes in Tomato Juice","canned","1 x 800g","19839","Brakes","2.09"
"Brakes Peach Halves in Light Syrup","Ready to eat or to use in recipes. A great time-saver!","1 x 820g","21211","Brakes","2.09"
"Pizza Topping","Canned pizza Topping","1 x 800g","85774","","2.09"
"Hudson's Salad Cream","In a squeezy 1 litre bottle, ideal for counter-top service at grab 'n' go outlets.","1 x 1ltr","109440","Hudson's","2.09"
"Hudson's Garlic Mayonnaise","In a squeezy 1 litre bottle, ideal for counter-top service at grab 'n' go outlets.","1 x 1ltr","109439","Hudson's","2.09"
"Hudson's Burger Sauce","In a squeezy 1 litre bottle, ideal for counter-top service at grab 'n' go outlets.","1 x 1ltr","109442","Hudson's","2.09"
"Garofalo Gluten Free Spaghetti Pasta 400g","","1 x 400g","124868","Garofalo","2.09"
"Garofalo Gluten Free Penne Rigate 400g","","1 x 400g","124869","Garofalo","2.09"
"Brakes Ready to Serve Custard","A classic dessert accompaniment, ready to serve either cold or hot","1 x 1ltr","15126","Brakes","2.19"
"Riverdene Borlotti Bean in Brine","Canned Borlotti Beans in brine","1 x 400g","131866","Riverdene","0.69"
"Riverdene Cannellini Beans Water","Canned cannellini beans in brine","1 x 400g","131867","Riverdene","0.69"
"Askeys Ice Cream Wafers","A golden yellow / brown coloured wafer biscuit with a crisp friable texture and slightly sweet lightly toasted background flavour.  The product is GMO-free and does not originate from or contain ingredients from genetic modification.  Conforms to all relevant statutory requirements (UK & EU Regulations).","1 x 48","100088","Askeys","0.89"
"Costa Fine Sea Salt 750g","fine sea salt","1 x 750g","4349","Costa","1.49"
"Plain Flour","","1 x 1.5kg","470703","","1.49"
"Reggia Peeled Plum Tomatoes in Juice","","1 x 400g","132690","Reggia","1.49"
"Reggia Chopped Tomatoes in Juice","","1 x 400g","132689","Reggia","1.49"
"Heinz Original Sandwich Spread 300g","Tangy and crunchy sandwich spread","1 x 300g","85726","Heinz","1.59"
"Tidman's Natural Rock Salt 500g","Rock salt","1 x 500g","120133","Tidman's","1.59"
"Brakes Baked Beans in Tomato Sauce","Created specifically for foodservice requirements, these beans are firmer for longer bain marie stability, and have more beans per kg than the leading brand, ensuring the highest quality. In a delicious tomato sauce… and a Brakes best-seller!","1 x 840g","15136","Brakes","1.79"
"Sombrero Pear Halves in Light Syrup","Pear Halves in Light Syrup 820g","6 x 820g","133538","Sombrero","1.87"
"Royal Crown Red Kidney Beans in Water","","1 x 800g","10143","Royal Crown","1.89"
"Chef William Cooking Salt","Pure Dried Vacuum Salt.","1 x 3kg","85120","Chef William","2.39"
"Brakes Fruit Cocktail in Light Syrup","Containing peach, pear and pineapple pieces with seedless grapes and pitted cherries. Ready to eat or to use in recipes. A great time-saver!","1 x 820g","19525","Brakes","2.49"
"Da Vinci Gourmet Strawberry Flavoured Drizzle Sauce 500g","Sweet strawberry sauce made with strawberry puree from concentrate and natural flavourings.","1 x 500g","100534","Da Vinci Gourmet","2.49"
"Da Vinci Gourmet Belgian Chocolate Flavoured Drizzle Sauce 500g","Glossy sweet sauce ready to serve in a convenient squeezy bottle a perfect over the counter sauce for ice cream and desserts.","1 x 500g","100530","Da Vinci Gourmet","2.49"
"Da Vinci Toffee with Devon Cream Drizzle","Glossy sweet sauce ready to serve in a convenient squeezy bottle a perfect over the counter sauce for ice cream and desserts.","1 x 500g","86134","Da Vinci","2.49"
"Blue Dragon fish sauce","Matured for 12 months to allow a full and salty flavour to develop, fish sauce (Nam Pla) is used in Thai cuisine as an essential ingredient for seasoning. It provides a balance to other key flavours in Thai dishes of hot, sweet and sour.","1 x 1ltr","28355","Blue Dragon","2.49"
"Hudson's Brown Sauce","In a squeezy 1 litre bottle, ideal for counter-top service at grab 'n' go outlets.","1 x 1ltr","109438","Hudson's","2.49"
"Brakes Barbeque Sauce","Sweet and smoky. In a squeezy 1 litre bottle, ideal for counter-top service at grab 'n' go outlets.","1 x 1ltr","109435","Brakes","2.49"
"Hudson's Tomato Ketchup","In a squeezy 1 litre bottle, ideal for counter-top service at grab 'n' go outlets.","1 x 1ltr","109434","Hudson's","2.49"
"Lion Louisiana BBQ Sauce 1 Litre","Appearance /Texture: A brown / red viscous sauce with visible pieces of Chilli's, Cracked Black Pepper and other spices.                      Flavour: Sweet, Vinegary sauce packed with flavour from spices.  Aroma:  Vinegary with a spicy aroma. .","1 x 1ltr","124061","Lion","2.49"
"FREEE FREEE Gluten Free Rice Flour","A naturally gluten free white flour with faint brown flecks. Freee by Doves Farm brand.","1 x 1kg","134614","FREEE","2.49"
"Ambrosia Light Devon Custard","Light Devon Custard - 30% Less Sugar & Fat  30% less fat & 30% less sugar than Ambrosia Devon Custard","1 x 1kg","133877","Ambrosia","2.49"
"Brakes Butter Beans in Water","","1 x 800g","22724","Brakes","2.79"
"Osprio Flaked Porridge Oats","Porridge Oats","1 x 2kg","25148","Osprio","2.89"
"Lion South Carolina Mustard BBQ Sauce 1 Litre","Appearance /Texture:   A yellow, viscous sauce with visual pieces of Rosemary.           Flavour:    A sweet, vinegary flavour with a distinct mustard profile. Aroma:    Vinegary and mustard aroma.","1 x 1ltr","124064","Lion","2.89"
"Chef William Air Dried Chives","Cleaned and cut leaves which have been air dried","1 x 70g","130611","Chef William","2.89"
"Brakes Medium Bulgar Wheat","","1 x 1kg","133971","Brakes","2.89"
"Brakes Tomato Paste","Made in Italy with Italian tomatoes, use to enrich flavour and thicken texture. A Brakes best-seller!","1 x 800g","28326","Brakes","2.99"
"Brakes Mixed Herbs","A popular blend of marjoram, thyme, parsley, basil and savory to add taste and flavour to everyday dishes. In a handy clear, resealable tub to keep contents fresher for longer. A great value store cupboard staple with a long shelf-life and concentrated flavour. Use about a teaspoon of dried herbs to replace a tablespoon of fresh on average.","1 x 140g","33590","Brakes","2.99"
"Branston Spaghetti Loops 2.62kg","Wholewheat Spaghetti in Tomato Sauce","1 x 2.62kg","119114","Branston","2.99"
"Brakes Whole Grapefruit Segments In Light Syrup","Ready to eat or to use in recipes. A great time-saver!","1 x 540g","85890","Brakes","3.09"
"Fermipan Yeast","Instant dried yeast for lean dough bread types requiring high fermentation power 1% emulsifier sorbitan mono-stearate E491","1 x 500g","2351","Fermipan","3.09"
"Brakes Peach Slices in Fruit Juice Concentrate with Added Water","Ready to eat or to use in recipes. A great time-saver!","1 x 822g","88599","Brakes","3.09"
"Macphie Demi-Glace 1 Litre","A glossy, velvety Demi-Glace sauce with a rich meaty flavour and a hint of tomato.  Tolerant to a range of added ingredients with guaranteed consistency.  Free from artificial flavour and preservatives.  Bain-marie, microwave and freeze/thaw stable. Gluten Free.","1 x 1ltr","470520","Macphie","3.09"
"Brakes Cereal Broth Mix","A colourful mix which acts as an excellent base for soups and stews. Rehydration required before cooking. Offers long shelf-life and easy preparation.","1 x 3kg","557","Brakes","3.19"
"Brakes Dark Pitted Cherries in Light Syrup","Dark Pitted Cherries in Light Syrup KC1","1 x 840g","15764","Brakes","3.19"
"Schwartz Paprika 425g","Capsicum annum Linnaeus, steam sterilised.","1 x 425g","28197","Schwartz","3.19"
"Marigold Engevita Yeast Flakes Brown 125g","","1 x 125g","126920","Marigold","3.19"
"Brakes Marrowfat Processed Peas in Water with Added Sugar & Salt","Juicy large peas with no artificial colours. Ready to use, saving you time.","1 x 2.61kg","33667","Brakes","3.29"
"Brakes Processed Peas in Water with Added Sugar & Salt","Ready to use, saving you time.","1 x 2.61kg","85949","Brakes","3.29"
"Bisto Gravy Mix 343g","Suitable for vegetarians Makes 5 litres Pre-mix with cold water","1 x 343g (makes 5ltr)","1215","Bisto","3.39"
"Brakes Demi Glace Sauce","Ideal to add to casseroles, soups and sauces. Ready to use and packed in litre cartons to minimise waste. A great time-saver!","1 x 1ltr","10718","Brakes","3.39"
"Brakes Mushy Processed Peas","Vibrant green processed peas containing no artificial colours. Ready to use, saving you time.","1 x 2.61kg","33563","Brakes","3.39"
"Green Peppercorns","French Green Peppercorn 175g","1 x 175g","85735","","3.39"
"Chia Seeds","Chia Seeds 6x450g","1 x 450g","132721","","3.39"
"Brakes Peeled Plum Tomatoes in Tomato Juice","","1 x 2.5kg","244","Brakes","3.49"
"Brakes Essentials Baked Beans in Tomato Sauce","Excellent value baked beans.","1 x 2.61kg","11758","Brakes Essentials","2.59"
"Chickpeas in water","Canned chick peas in water","1 x 800g","13609","","2.59"
"Brakes Couscous","Made from wheat semolina. Rehydrate and serve or personalise first.","1 x 1kg","35397","Brakes","2.59"
"Brakes Whole Grapefruit Segments in Apple Juice","Ready to eat or to use in recipes. A great time-saver!","1 x 540g","89561","Brakes","2.59"
"Brakes Sliced Green Jalapeno Peppers in Brine","Convenient, ready to use sliced green jalapeno peppers in brine","1 x 1kg","106727","Brakes","2.59"
"Hudson's Mild Mustard","In a squeezy 1 litre bottle, ideal for counter-top service at grab 'n' go outlets.","1 x 1ltr","109436","Hudson's","2.59"
"Hudson's Real Mayonnaise","In a squeezy 1 litre bottle, ideal for counter-top service at grab 'n' go outlets.","1 x 1ltr","109441","Hudson's","2.59"
"Hovis Strong White Bread Flour 1.5kg","Strong White Bread Flour","1 x 1.5kg","85737","Hovis","2.69"
"Da Vinci Raspberry Dessert Sauce","Raspberry Sauce made with raspberry puree from concentrate and natural flavourings","1 x 500g","100536","Da Vinci","2.69"
"Hudson's Hot Chilli Sauce","In a squeezy 1 litre bottle, ideal for counter-top service at grab 'n' go outlets.","1 x 1ltr","109437","Hudson's","2.69"
"Brakes Peeled Plum Tomatoes in Tomato Juice","","1 x 800g","19838","Brakes","2.79"
"Black Eye Beans","Soaked, blanched beans, packed in hermetically sealed cans","1 x 800g","100171","","2.79"
"Brakes Reduced Salt & Sugar Baked Beans in Tomato Sauce","With 30% less salt and 30% less sugar. Created specifically for foodservice requirements, these beans are firmer for longer bain marie stability, and have more beans per kg than the leading brand, ensuring the highest quality. In a delicious tomato sauce… and a Brakes best-seller!","1 x 2.62kg","28758","Brakes","3.49"
"Brakes Baked Beans in Tomato Sauce","Created specifically for foodservice requirements, these beans are firmer for longer bain marie stability, and have more beans per kg than the leading brand, ensuring the highest quality. In a delicious tomato sauce… and a Brakes best-seller!","1 x 3.12kg","33655","Brakes","3.49"
"Tate & Lyle Fairtrade Hazelnut Coffee Syrup 750ml","","1 x 750ml","119557","Tate & Lyle","3.49"
"Tate & Lyle Fairtrade Vanilla Coffee Syrup 750ml","","1 x 750ml","119558","Tate & Lyle","3.49"
"Tate & Lyle Fairtrade Caramel Coffee Syrup 750ml","","1 x 750ml","119559","Tate & Lyle","3.49"
"Osprio Yellow Split Peas (Scotland Only)","YELLOW SPLIT PEAS","1 x 3kg","128014","Osprio","3.49"
"Tate & Lyle Fairtrade Gingerbread Coffee Syrup","Cane sugar based beverage syrup with a sweet gingerbread flavour.","1 x 750ml","129588","Tate & Lyle","3.49"
"Tate & Lyle Fairtrade Mint Coffee Syrup","Cane sugar based beverage syrup with a sweet mint flavour.","1 x 750ml","132716","Tate & Lyle","3.49"
"Brakes Black Onion Seeds","","1 x 500g","131417","Brakes","3.49"
"Tate & Lyle Fairtrade Salted Caramel Coffee Syrup","Cane sugar based beverage syrup with a salted caramel flavour.","1 x 750ml","132715","Tate & Lyle","3.49"
"Brakes Oregano","Generally considered better dried than fresh, and indispensable in Italian and Mexican cooking. In a handy clear, resealable tub to keep contents fresher for longer. A great value store cupboard staple with a long shelf-life and concentrated flavour. Use about a teaspoon of dried herbs to replace a tablespoon of fresh on average.","1 x 130g","33592","Brakes","3.59"
"Opies Sliced Lemons in Lemon Juice 460g","","6 x 460g","127159","Opies","3.59"
"Royal Crown Chick Peas in Water","Soaked, blanched chick peas, packed in hermetically sealed cans","1 x 2.5kg","132404","Royal Crown","4.09"
"Brakes Spaghetti in Tomato Sauce","In delicious tomato sauce.","1 x 2.58kg","1822","Brakes","4.19"
"Brakes Red Kidney Beans in Water","","1 x 2.5kg","13381","Brakes","4.19"
"Brakes Bicarbonate of Soda","Use in addition to baking powder to further boost the raising potential of cake and scone mixes.","1 x 1.1kg","33596","Brakes","4.19"
"Brakes Healthier Choices Spaghetti Rings in Tomato Sauce","In delicious tomato sauce.","1 x 2.58kg","86867","Brakes Healthier Choices","4.19"
"Preema Lemon Essence 500ml","PREEMA LEMON FLAVOURING 500ML","1 x 500ml","86870","Preema","4.19"
"Osprio Penne Pasta (SCOTLAND ONLY)","Penne","1 x 3kg","13397","Osprio","4.19"
"Osprio Macaroni (Scotland Only)","MACARONI","1 x 3kg","21110","Osprio","4.19"
"Unpitted Prunes in Juice","Ready to eat or to use in recipes. A great time-saver!","1 x 850g","85165","","4.19"
"Marshalls Snacaroni Mac & Cheese","","8 x 75g","128905","Marshalls","4.19"
"De Cecco Rigatoni 1kg","Premium Dried Pasta","1 x 1kg","126716","De Cecco","4.19"
"Knorr Garde d'Or Bechamel Sauce 1L","Bechamel prepared sauce","1 x 1ltr","119087","Knorr","4.19"
"Brakes Spaghetti Rings in Tomato Sauce","In delicious tomato sauce.","1 x 2.58kg","7005","Brakes","3.99"
"Brakes Essentials Tomato & Herb Sauce","A time-saving, ready-to-use Italian-style sauce in a resealable plastic container.","1 x 2.25kg","89777","Brakes Essentials","3.99"
"Brakes Plain Flour","Flour with no Raising agents added, for use in biscuits, cakes, breads, muffins and a world of baked goods","1 x 3kg","350091","Brakes","3.99"
"Lea & Perrins Worcester Sauce 290ml","","1 x 290ml","350153","Lea & Perrins","3.99"
"Dr. Oetker Professional Scotbloc Plain Chocolate Flavoured Bar 750g","An all purpose bakers coating with a smooth texture of plain chocolate appearance and flavour.  A free flowing coating, formulated for enrobing work.","1 x 750g","3415","Dr. Oetker","4.09"
"Dr. Oetker Professional Scotbloc Milk Chocolate Flavoured Bar 750g","An all purpose bakers coating with a smooth texture of milk chocolate appearance and flavour.  A free flowing coating, formulated for enrobing work.","1 x 750g","3416","Dr. Oetker","4.09"
"Brakes Pineapple Rings in Light Syrup","Small pineapple rings. Ready to eat or to use in recipes. A great time-saver!","1 x 825g","16921","Brakes","4.09"
"Blue Dragon Sriracha Hot Chilli Sauce 700ml","Thai hot red chilli sauce","1 x 700ml","112724","Blue Dragon","4.09"
"Brakes Self Raising Flour","Flour containing Raising agents for general use in baking and cake-making and a world of baked goods","1 x 3kg","350092","Brakes","4.09"
"Supernature Oil Garlic Infused Rapeseed Oil (Scotland Only)","1 x 250 ml Garlic Infused Cold Pressed  Rapeseed Oil","1 x 250ml","120992","Supernature Oil","4.09"
"Supernature Oil Chilli Infused Rapeseed Oil (Scotland Only)","1 x 250 ml Chilli Infused Cold Pressed  Rapeseed Oil","1 x 250ml","120993","Supernature Oil","4.09"
"Osprio Semolina (Scotland Only)","Semolina","1 x 3kg","128013","Osprio","4.09"
"Macphie Bechamel with Butter 1 Litre","A ready-to-use, smooth and creamy white sauce enriched with butter.  Tolerant to a range of additional ingredients such as fresh herbs.  Contains no hydrogenated oils and free from artificial colours, flavours and preservatives.  Meets FSA 2012 salt guidelines, is microwave, bain-marie and freeze-thaw stable and also suitable for vegetarians. Gluten Free.","1 x 1ltr","470507","Macphie","3.59"
"Blue Dragon Hot Sweet Chilli Sauce 1L","Hot sweet chilli dipping sauce","1 x 1ltr","89973","Blue Dragon","3.59"
"Tate & Lyle Fairtrade Icing Sugar 1kg","A free flowing blend of white powdered sugar and maize starch. It can be used for baking and decorative dusting.","1 x 1kg","106066","Tate & Lyle","3.59"
"Brakes Italian Arborio Rice","","1 x 1kg","114960","Brakes","3.59"
"Brakes Prunes in Heavy Syrup","Prunes in thick syrup. Ready to eat or to use in recipes. A great time-saver!","1 x 850g","9330","Brakes","3.69"
